Target,Model group,Architecture,Inputs,Seed,Validation macro-F1,Validation balanced accuracy,Validation kappa,Test macro-F1,Test balanced accuracy,Test accuracy,Test MAE,Test kappa,Test high recall,Test low recall,OELM problem recall,Parameters,Training seconds,Source metrics JSON,Recommended use
Ordinal 4-level,Existing XGBoost,XGBoost,364 blendshape statistics,N/A,,,,0.29726430640349216,0.31461056154844835,0.5421686746987951,0.5998731769181991,0.14147986062185272,,,,,,ml/artifacts/model/xgboost_baseline_metrics.json,Keep for 4-level severity display
Ordinal 4-level,TCN-CORN,TCN-CORN,52 blendshapes + temporal deltas,1729,0.2927279555184512,0.29882329755597303,0.15474403331306574,0.29433232999271824,0.30142143552303324,0.5692771084337349,0.5447051363348129,0.15340325864760473,,,,179149,77.25091850000899,ml/artifacts/model/metrics.json,Research challenger; strongest ordinal MAE
Ordinal 4-level,TCN-CORN,TCN-CORN,52 blendshapes + temporal deltas,42,0.28552429251794664,0.2918992184360762,0.12893672671135,0.28997828261766273,0.2996409555762227,0.5336081166772353,0.5844958782498415,0.16103560108340664,,,,179149,100.76833710004576,ml/artifacts/model-seed42/metrics.json,Research challenger; seed robustness
Ordinal 4-level,BiLSTM-CORN,BiLSTM-CORN,52 blendshapes + temporal deltas,1729,0.2952554502415772,0.30620153481513673,0.15226837871528803,0.29394896146364446,0.30539476731389004,0.5168040583386175,0.6147748890298035,0.1619631503423568,,,,189277,199.24869480007328,ml/artifacts/model-lstm/metrics.json,Do not promote over existing XGBoost
Binary Low/High,Collapsed 4-class XGBoost,XGBoost,364 blendshape statistics,N/A,0.5605477181116152,0.5666617044525332,0.12361525609738166,0.5555858036218436,0.5715120342672161,0.8124603677869372,0.18753963221306277,0.11787670585799603,0.44421569061422383,0.6988083779202086,0.2809315728232131,,,ml/artifacts/binary/xgboost_collapsed_metrics.json,Strong low-cost binary baseline
Binary Low/High,Direct binary XGBoost,XGBoost,364 blendshape statistics,1729,0.5753580465574789,0.5779643413481852,0.15157142326528059,0.5426509161688209,0.5532315942041681,0.8203868103994928,0.1796131896005073,0.0880497835053044,0.3827290434743504,0.7237341449339859,0.22834654898050913,,,ml/artifacts/model-binary-xgboost/metrics.json,Superseded by combined-feature XGBoost
Binary Low/High,Direct binary XGBoost,XGBoost,364 blendshape statistics,42,0.5649918149074372,0.565971802034299,0.13071084263360774,0.5532058478195816,0.5566652491660383,0.8362396956246038,0.16376030437539632,0.10710553018441693,0.38669936913078423,0.7266311292012924,0.21581267364175577,,,ml/artifacts/model-binary-xgboost-seed42/metrics.json,Superseded by combined-feature XGBoost
Binary Low/High,Binary TCN,TCN-CORN,52 blendshapes + temporal deltas,1729,0.5795235899379819,0.581594062106314,0.16141386325122753,0.5434094005969592,0.5821711300441735,0.7664870006341153,0.2335129993658846,0.11955793869655118,0.5540437114992092,0.6102985485891379,0.3623559718793381,178373,58.04963940009475,ml/artifacts/model-binary-tcn/metrics.json,Recommended intervention-detection gate
Binary Low/High,Binary TCN,TCN-CORN,52 blendshapes + temporal deltas,42,0.5636228108168967,0.5664264086046981,0.13025872470164687,0.5537477054770279,0.567055611267083,0.8186429930247305,0.1813570069752695,0.1115685402900409,0.4279134742970317,0.7061977482371344,0.2607057085738895,178373,178.10033260006458,ml/artifacts/model-binary-tcn-seed42/metrics.json,Recommended intervention-detection gate
Binary Low/High,Binary BiLSTM,BiLSTM-CORN,52 blendshapes + temporal deltas,1729,0.5676738070631022,0.5700922635105736,0.13772526633687843,0.5544481863549764,0.5741079157524032,0.8059606848446417,0.19403931515535827,0.12876813835890444,0.5061952388808371,0.6420205926239692,0.3010133317105948,188245,104.68319679994602,ml/artifacts/model-binary-lstm/metrics.json,Compromise model; not primary recommendation
Binary Low/High,Binary TCN + behaviour,TCN-CORN,52 blendshapes + 12 behaviours + deltas,1729,0.5643071103777179,0.5639674308256627,0.1300727311588519,0.548675718237733,0.5773127256998369,0.794863665187064,0.20513633481293597,0.11299686958147703,0.5273474189727336,0.6272780324269402,0.3207502250743733,180677,123.7492215000093,ml/artifacts/model-binary-tcn-behavior/metrics.json,Do not promote; problem recall decreased
Binary Low/High,Binary TCN + behaviour,TCN-CORN,52 blendshapes + 12 behaviours + deltas,42,0.575148400673141,0.5779351602959619,0.150705288615877,0.5591158315838994,0.5626804501420655,0.8376664552948636,0.1623335447051363,0.12322755896788767,0.4221619368689382,0.7031989634151927,0.226756520440192,180677,149.3933908001054,ml/artifacts/model-binary-tcn-behavior-seed42/metrics.json,Do not promote; problem recall decreased
Binary Low/High,Combined-feature XGBoost,XGBoost,364 blendshape + 84 behaviour statistics,1729,0.5806817777743392,0.5849743979719286,0.16442312028816425,0.5539418937620089,0.5641308593090352,0.8335447051363348,0.16645529486366517,0.1096014449489015,0.38956386917660424,0.738697849441466,0.2380629310903003,,,ml/artifacts/model-binary-xgboost-behavior/metrics.json,Best XGBoost; confirmation/calibration model
Binary Low/High,Combined-feature XGBoost,XGBoost,364 blendshape + 84 behaviour statistics,42,0.5839210048446097,0.5899157073351254,0.17049357444878876,0.5651752470732418,0.5780257013447044,0.8279961953075461,0.17200380469245402,0.13401438151733658,0.4233668988151596,0.7326845038742493,0.27261235113590354,,,ml/artifacts/model-binary-xgboost-behavior-seed42/metrics.json,Best XGBoost; confirmation/calibration model
Binary Low/High,Logistic Regression,Logistic Regression,364 blendshape + 84 behaviour statistics,1729,0.5469456646290165,0.5522895580414408,0.0973208068991118,0.5573433145673867,0.564234631951577,0.8406785034876348,0.15932149651236524,0.12025598157901068,0.39895369921314405,0.7295155646900098,0.21946108154449245,,24.461833599954844,ml/artifacts/model-classical-logistic_regression-seed1729/metrics.json,"Fast, interpretable classical baseline"
Binary Low/High,Linear SVM,Linear SVM,364 blendshape + 84 behaviour statistics,1729,0.5502104089079503,0.5531340691510239,0.10273123517477856,0.5487886520065655,0.559315450286329,0.8351299936588459,0.1648700063411541,0.10837864159506091,0.4060419503989238,0.7125889501737341,0.21673409494578735,,306.06796470005065,ml/artifacts/model-classical-linear_svm-seed1729/metrics.json,Fast baseline; weaker than logistic regression
Binary Low/High,Random Forest,Random Forest,364 blendshape + 84 behaviour statistics,1729,0.5755459082923996,0.5951888746467762,0.16074548654721033,0.5626660710441242,0.5907034733606602,0.8061192136968929,0.19388078630310718,0.13688037138408324,0.4546321588650359,0.7267747878562845,0.3266853442798332,,97.12268119980581,ml/artifacts/model-classical-random_forest-seed1729/metrics.json,Best classical intervention-oriented trade-off
Binary Low/High,Random Forest,Random Forest,364 blendshape + 84 behaviour statistics,42,0.5830164474256754,0.591103939532318,0.1694075443231537,0.5635213959977765,0.5807620501598418,0.8314838300570704,0.16851616994292962,0.1297051693756727,0.39706593836907195,0.7644581619506119,0.2704569164260097,,95.39109959988855,ml/artifacts/model-classical-random_forest-seed42/metrics.json,Best classical intervention-oriented trade-off
Binary Low/High,Extra Trees,Extra Trees,364 blendshape + 84 behaviour statistics,1729,0.5890975011709411,0.5974944921144517,0.18003124826391195,0.5719470164238194,0.5916089122754593,0.8321179454660748,0.16788205453392518,0.14907967086778842,0.42158663447064115,0.7616311900802777,0.2906297864406224,,49.665677699958906,ml/artifacts/model-classical-extra_trees-seed1729/metrics.json,Best classical overall macro-F1 and kappa
Binary Low/High,Extra Trees,Extra Trees,364 blendshape + 84 behaviour statistics,42,0.5870337130540122,0.5835350715889209,0.17488832820858086,0.5623585836322988,0.5647710542354754,0.8495561192136969,0.1504438807863031,0.12637479404056967,0.3608127673915763,0.7687293410793743,0.2099297426750415,,47.06063620001078,ml/artifacts/model-classical-extra_trees-seed42/metrics.json,Best classical overall macro-F1 and kappa
