Target,Model group,Architecture,Inputs,Seed,Validation macro-F1,Validation balanced accuracy,Validation kappa,Test macro-F1,Test balanced accuracy,Test accuracy,Test MAE,Test kappa,Test high recall,Test low recall,OELM problem recall,Parameters,Training seconds,Source metrics JSON,Recommended use
Ordinal 4-level,TCN-CORN,TCN-CORN,52 blendshapes + temporal deltas,1729,0.2927279555184512,0.29882329755597303,0.15474403331306574,0.29433232999271824,0.30142143552303324,0.5692771084337349,0.5447051363348129,0.15340325864760473,,,,179149,77.25091850000899,ml/artifacts/model/metrics.json,Best temporal ordinal challenger
Ordinal 4-level,TCN-CORN,TCN-CORN,52 blendshapes + temporal deltas,42,0.28552429251794664,0.2918992184360762,0.12893672671135,0.28997828261766273,0.2996409555762227,0.5336081166772353,0.5844958782498415,0.16103560108340664,,,,179149,100.76833710004576,ml/artifacts/model-seed42/metrics.json,Research challenger; seed robustness
Ordinal 4-level,BiLSTM-CORN,BiLSTM-CORN,52 blendshapes + temporal deltas,1729,0.2952554502415772,0.30620153481513673,0.15226837871528803,0.29394896146364446,0.30539476731389004,0.5168040583386175,0.6147748890298035,0.1619631503423568,,,,189277,199.24869480007328,ml/artifacts/model-lstm/metrics.json,Recurrent temporal benchmark
Ordinal 4-level,BiLSTM-CORN,BiLSTM-CORN,52 blendshapes + temporal deltas,42,0.2980328694883689,0.3068831193576677,0.1511952739504757,0.2925220654634504,0.2930022394885757,0.5870323398858592,0.4965123652504756,0.13613248462549177,,,,189277,307.0160149000585,ml/artifacts/model-lstm-seed42/metrics.json,Recurrent temporal benchmark
Ordinal 4-level,Logistic Regression,Logistic Regression,364 blendshape + 84 behaviour statistics,1729,0.2588938919810866,0.28597873437337024,0.07517015782646869,0.2621245649618579,0.30991439381410124,0.4086873811033608,0.8275206087507927,0.11422640505039458,,,,,15.162505000131205,ml/artifacts/model-classical-ordinal-logistic_regression-seed1729/metrics.json,Fast baseline; weak exact-level discrimination
Ordinal 4-level,Logistic Regression,Logistic Regression,364 blendshape + 84 behaviour statistics,42,0.2588938919810866,0.28597873437337024,0.07517015782646869,0.2621245649618579,0.30991439381410124,0.4086873811033608,0.8275206087507927,0.11422640505039458,,,,,25.249729600036517,ml/artifacts/model-classical-ordinal-logistic_regression-seed42/metrics.json,Fast baseline; weak exact-level discrimination
Ordinal 4-level,Linear SVM,Linear SVM,364 blendshape + 84 behaviour statistics,1729,0.2751424131352945,0.286255884193918,0.08930690797718879,0.28579748986690645,0.3216299861708891,0.5003170577045022,0.6926125554850983,0.15783755482014414,,,,,276.04397629993036,ml/artifacts/model-classical-ordinal-linear_svm-seed1729/metrics.json,Best classical 4-level class balance
Ordinal 4-level,Linear SVM,Linear SVM,364 blendshape + 84 behaviour statistics,42,0.2751424131352945,0.286255884193918,0.08930690797718879,0.28579748986690645,0.3216299861708891,0.5003170577045022,0.6926125554850983,0.15783755482014414,,,,,439.9122180000413,ml/artifacts/model-classical-ordinal-linear_svm-seed42/metrics.json,Best classical 4-level class balance
Ordinal 4-level,Random Forest,Random Forest,364 blendshape + 84 behaviour statistics,1729,0.25117591891645513,0.2788396781097074,0.08352685137179633,0.24088963438376082,0.26821068721413455,0.62143310082435,0.46940393151553583,0.06246243100812371,,,,,131.05299400002696,ml/artifacts/model-classical-ordinal-random_forest-seed1729/metrics.json,Majority-dominated; low MAE but weak macro-F1
Ordinal 4-level,Random Forest,Random Forest,364 blendshape + 84 behaviour statistics,42,0.25152594275654816,0.2790713221735148,0.08548783319085873,0.24046858646862407,0.2672003041820977,0.62000634115409,0.47305009511731133,0.05618815385821946,,,,,132.24304339988157,ml/artifacts/model-classical-ordinal-random_forest-seed42/metrics.json,Majority-dominated; low MAE but weak macro-F1
Ordinal 4-level,Extra Trees,Extra Trees,364 blendshape + 84 behaviour statistics,1729,0.25552729710412553,0.28344878513504074,0.09018684275219668,0.2442577185815737,0.270504152596499,0.62571337983513,0.46116043119847816,0.07162724051094557,,,,,58.471109099918976,ml/artifacts/model-classical-ordinal-extra_trees-seed1729/metrics.json,Best tree MAE; weak minority-level recall
Ordinal 4-level,Extra Trees,Extra Trees,364 blendshape + 84 behaviour statistics,42,0.24918073096033458,0.2776562279463252,0.07935631256099271,0.2469880747402281,0.2714758395340915,0.6246036778693722,0.46068484464172477,0.07389807169058935,,,,,56.59138259990141,ml/artifacts/model-classical-ordinal-extra_trees-seed42/metrics.json,Best tree MAE; weak minority-level recall
